"login","id","avatar_url","gravatar_id","url","html_url","followers_url","following_url","gists_url","starred_url","subscriptions_url","organizations_url","repos_url","events_url","received_events_url","type","site_admin","score"
"whalemuseum",2926358,"https://avatars.githubusercontent.com/u/2926358?v=3","","https://api.github.com/users/whalemuseum","https://github.com/whalemuseum","https://api.github.com/users/whalemuseum/followers","https://api.github.com/users/whalemuseum/following{/other_user}","https://api.github.com/users/whalemuseum/gists{/gist_id}","https://api.github.com/users/whalemuseum/starred{/owner}{/repo}","https://api.github.com/users/whalemuseum/subscriptions","https://api.github.com/users/whalemuseum/orgs","https://api.github.com/users/whalemuseum/repos","https://api.github.com/users/whalemuseum/events{/privacy}","https://api.github.com/users/whalemuseum/received_events","User",FALSE,3.782968
"PolishHistoryMuseum",349650,"https://avatars.githubusercontent.com/u/349650?v=3","","https://api.github.com/users/PolishHistoryMuseum","https://github.com/PolishHistoryMuseum","https://api.github.com/users/PolishHistoryMuseum/followers","https://api.github.com/users/PolishHistoryMuseum/following{/other_user}","https://api.github.com/users/PolishHistoryMuseum/gists{/gist_id}","https://api.github.com/users/PolishHistoryMuseum/starred{/owner}{/repo}","https://api.github.com/users/PolishHistoryMuseum/subscriptions","https://api.github.com/users/PolishHistoryMuseum/orgs","https://api.github.com/users/PolishHistoryMuseum/repos","https://api.github.com/users/PolishHistoryMuseum/events{/privacy}","https://api.github.com/users/PolishHistoryMuseum/received_events","Organization",FALSE,3.782968
"dcmgit",4976731,"https://avatars.githubusercontent.com/u/4976731?v=3","","https://api.github.com/users/dcmgit","https://github.com/dcmgit","https://api.github.com/users/dcmgit/followers","https://api.github.com/users/dcmgit/following{/other_user}","https://api.github.com/users/dcmgit/gists{/gist_id}","https://api.github.com/users/dcmgit/starred{/owner}{/repo}","https://api.github.com/users/dcmgit/subscriptions","https://api.github.com/users/dcmgit/orgs","https://api.github.com/users/dcmgit/repos","https://api.github.com/users/dcmgit/events{/privacy}","https://api.github.com/users/dcmgit/received_events","User",FALSE,3.782968
"te-papa",5342454,"https://avatars.githubusercontent.com/u/5342454?v=3","","https://api.github.com/users/te-papa","https://github.com/te-papa","https://api.github.com/users/te-papa/followers","https://api.github.com/users/te-papa/following{/other_user}","https://api.github.com/users/te-papa/gists{/gist_id}","https://api.github.com/users/te-papa/starred{/owner}{/repo}","https://api.github.com/users/te-papa/subscriptions","https://api.github.com/users/te-papa/orgs","https://api.github.com/users/te-papa/repos","https://api.github.com/users/te-papa/events{/privacy}","https://api.github.com/users/te-papa/received_events","Organization",FALSE,3.782968
"aum-vertnet",7863328,"https://avatars.githubusercontent.com/u/7863328?v=3","","https://api.github.com/users/aum-vertnet","https://github.com/aum-vertnet","https://api.github.com/users/aum-vertnet/followers","https://api.github.com/users/aum-vertnet/following{/other_user}","https://api.github.com/users/aum-vertnet/gists{/gist_id}","https://api.github.com/users/aum-vertnet/starred{/owner}{/repo}","https://api.github.com/users/aum-vertnet/subscriptions","https://api.github.com/users/aum-vertnet/orgs","https://api.github.com/users/aum-vertnet/repos","https://api.github.com/users/aum-vertnet/events{/privacy}","https://api.github.com/users/aum-vertnet/received_events","Organization",FALSE,3.782968
"TheCubanMuseum",8049118,"https://avatars.githubusercontent.com/u/8049118?v=3","","https://api.github.com/users/TheCubanMuseum","https://github.com/TheCubanMuseum","https://api.github.com/users/TheCubanMuseum/followers","https://api.github.com/users/TheCubanMuseum/following{/other_user}","https://api.github.com/users/TheCubanMuseum/gists{/gist_id}","https://api.github.com/users/TheCubanMuseum/starred{/owner}{/repo}","https://api.github.com/users/TheCubanMuseum/subscriptions","https://api.github.com/users/TheCubanMuseum/orgs","https://api.github.com/users/TheCubanMuseum/repos","https://api.github.com/users/TheCubanMuseum/events{/privacy}","https://api.github.com/users/TheCubanMuseum/received_events","Organization",FALSE,3.782968
"mattressfactory",2523926,"https://avatars.githubusercontent.com/u/2523926?v=3","","https://api.github.com/users/mattressfactory","https://github.com/mattressfactory","https://api.github.com/users/mattressfactory/followers","https://api.github.com/users/mattressfactory/following{/other_user}","https://api.github.com/users/mattressfactory/gists{/gist_id}","https://api.github.com/users/mattressfactory/starred{/owner}{/repo}","https://api.github.com/users/mattressfactory/subscriptions","https://api.github.com/users/mattressfactory/orgs","https://api.github.com/users/mattressfactory/repos","https://api.github.com/users/mattressfactory/events{/privacy}","https://api.github.com/users/mattressfactory/received_events","Organization",FALSE,3.8652716
"MetMuseumofArt",3781327,"https://avatars.githubusercontent.com/u/3781327?v=3","","https://api.github.com/users/MetMuseumofArt","https://github.com/MetMuseumofArt","https://api.github.com/users/MetMuseumofArt/followers","https://api.github.com/users/MetMuseumofArt/following{/other_user}","https://api.github.com/users/MetMuseumofArt/gists{/gist_id}","https://api.github.com/users/MetMuseumofArt/starred{/owner}{/repo}","https://api.github.com/users/MetMuseumofArt/subscriptions","https://api.github.com/users/MetMuseumofArt/orgs","https://api.github.com/users/MetMuseumofArt/repos","https://api.github.com/users/MetMuseumofArt/events{/privacy}","https://api.github.com/users/MetMuseumofArt/received_events","Organization",FALSE,3.8652716
"maineminerals",15822142,"https://avatars.githubusercontent.com/u/15822142?v=3","","https://api.github.com/users/maineminerals","https://github.com/maineminerals","https://api.github.com/users/maineminerals/followers","https://api.github.com/users/maineminerals/following{/other_user}","https://api.github.com/users/maineminerals/gists{/gist_id}","https://api.github.com/users/maineminerals/starred{/owner}{/repo}","https://api.github.com/users/maineminerals/subscriptions","https://api.github.com/users/maineminerals/orgs","https://api.github.com/users/maineminerals/repos","https://api.github.com/users/maineminerals/events{/privacy}","https://api.github.com/users/maineminerals/received_events","Organization",FALSE,3.8652716
"ROMtoronto",7251875,"https://avatars.githubusercontent.com/u/7251875?v=3","","https://api.github.com/users/ROMtoronto","https://github.com/ROMtoronto","https://api.github.com/users/ROMtoronto/followers","https://api.github.com/users/ROMtoronto/following{/other_user}","https://api.github.com/users/ROMtoronto/gists{/gist_id}","https://api.github.com/users/ROMtoronto/starred{/owner}{/repo}","https://api.github.com/users/ROMtoronto/subscriptions","https://api.github.com/users/ROMtoronto/orgs","https://api.github.com/users/ROMtoronto/repos","https://api.github.com/users/ROMtoronto/events{/privacy}","https://api.github.com/users/ROMtoronto/received_events","Organization",FALSE,3.8652716
