"html_url","type","name","company","blog","location","bio","public_repos","followers","created_at","updated_at"
"https://github.com/AgileMuseum","Organization","AgileMuseum",,"http://agilemuseum.com",,,"0","0","2014-10-14T11:14:26Z","2015-12-11T20:04:52Z"
"https://github.com/thewarholmuseum","Organization","The Andy Warhol Museum",,"http://www.warhol.org/","Pittsburgh, PA","More than a museum.","2","0","2014-01-10T18:56:01Z","2016-03-22T20:24:36Z"
"https://github.com/CivilWarMuseum","User","Gettysburg Museum","civil war collectibles","http://www.gettysburgmuseumofhistory.com/","Gettysburg PA",,"0","0","2013-06-04T18:55:42Z","2016-02-27T09:03:06Z"
"https://github.com/pennmuseum","Organization","Penn Museum",,"penn.museum","Philadelphia",,"0","0","2013-08-12T20:42:25Z","2016-02-27T10:34:50Z"
"https://github.com/marinersmuseum","Organization","The Mariners' Museum and Park",,"http://www.marinersmuseum.org","Newport News, Virginia, USA","America's National Maritime Museum","4","0","2014-03-08T02:56:46Z","2015-08-20T02:03:23Z"
"https://github.com/geffrye","User","Geffrye Museum",,"http://www.geffrye-museum.org.uk/","London",,"1","0","2014-11-18T20:46:00Z","2016-02-27T22:03:20Z"
"https://github.com/philamuseum","Organization","Philadelphia Museum of Art",,"http://www.philamuseum.org","Philadelphia, PA",,"2","0","2016-03-09T15:38:07Z","2016-03-09T15:41:18Z"
"https://github.com/tenementmuseum","Organization","Tenement Museum",,,,,"0","0","2014-12-05T15:05:02Z","2016-03-28T09:51:22Z"
"https://github.com/marinersmuseum","Organization","The Mariners' Museum and Park",,"http://www.marinersmuseum.org","Newport News, Virginia, USA","America's National Maritime Museum","4","0","2014-03-08T02:56:46Z","2015-08-20T02:03:23Z"
"https://github.com/pennmuseum","Organization","Penn Museum",,"penn.museum","Philadelphia",,"0","0","2013-08-12T20:42:25Z","2016-02-27T10:34:50Z"
"https://github.com/CivilWarMuseum","User","Gettysburg Museum","civil war collectibles","http://www.gettysburgmuseumofhistory.com/","Gettysburg PA",,"0","0","2013-06-04T18:55:42Z","2016-02-27T09:03:06Z"
"https://github.com/geffrye","User","Geffrye Museum",,"http://www.geffrye-museum.org.uk/","London",,"1","0","2014-11-18T20:46:00Z","2016-02-27T22:03:20Z"
"https://github.com/BNHM","Organization","Berkeley Natural History Museum Consortium",,"http://bnhm.berkeley.edu/","University of California, Berkeley","UC Berkeley's biocollections spanning anthropology, botany, entomology, paleontology, and terrestrial vertebrates.","4","0","2015-04-06T04:40:14Z","2016-04-07T20:22:39Z"
"https://github.com/lgauge","User","L-Gauge Museum","L-Gauge Museum","www.lgauge.org",,,"0","0","2013-07-24T14:41:38Z","2016-02-27T10:15:40Z"
"https://github.com/vesterheim","Organization","Vesterheim: The National Norwegian-American Museum and Heritage Center ",,"http://vesterheim.org/","Decorah, IA",,"4","0","2013-11-06T13:58:09Z","2016-02-27T12:08:20Z"
"https://github.com/MuseCompNet","Organization","Museum Computer Network",,"http://www.mcn.edu",,,"1","0","2013-04-07T20:07:01Z","2016-02-27T07:43:19Z"
"https://github.com/cmhouston","Organization","Children's Museum of Houston",,"http://www.cmhouston.org/","Houston",,"2","0","2014-07-21T20:49:12Z","2015-01-07T12:07:26Z"
"https://github.com/ArhTeam","Organization","Archaeological School Museum",,"http://www.arhmuzey.ru/","Медведево, Марий Эл",,"1","0","2015-01-29T12:34:14Z","2015-02-04T13:09:52Z"
"https://github.com/sciencemuseummn","Organization","Science Museum of Minnesota",,"http://www.smm.org","Saint Paul, MN",,"0","0","2015-04-21T19:12:50Z","2015-06-19T18:52:23Z"
"https://github.com/CreativeDiscoveryMuseumMediaLab","Organization","Creative Discovery Museum",,"http://cdmfun.org","Chattanooga, TN",,"1","0","2015-03-03T20:11:15Z","2015-08-07T03:09:31Z"
"https://github.com/uamz-vertnet","Organization","University of Alberta Museum of Zoology (UAMZ)",,"http://www.biology.museums.ualberta.ca/MuseumOfZoology.aspx","Edmonton, Alberta, Canada",,"4","0","2015-05-06T22:41:25Z","2015-05-08T16:07:16Z"
